Date,Time,Uniform 0 To 100,Temperature,Uniform 0 To 1000,Coin Toss,Gaussian
05/19/16,03:22:28,31,90,105,0,todo
05/20/16,08:33:18,22,101,849,1,todo
05/21/16,01:10:15,47,87,985,0,todo
05/21/16,10:45:10,21,77,698,1,todo
05/21/16,03:51:59,14,66,973,1,todo
05/21/16,07:59:39,27,96,642,1,todo
05/21/16,20:41:56,92,38,327,1,todo
05/22/16,12:41:09,89,77,566,1,todo
05/22/16,00:01:07,16,41,391,1,todo
05/23/16,01:17:12,66,74,655,0,todo
05/23/16,01:55:28,66,39,150,0,todo
05/24/16,19:59:07,62,61,515,1,todo
05/25/16,20:41:54,3,92,404,1,todo
05/26/16,01:19:12,100,88,698,1,todo
05/26/16,17:10:05,90,51,118,1,todo
05/26/16,16:38:14,15,101,457,1,todo
05/26/16,00:34:14,52,66,518,1,todo
05/27/16,05:37:36,94,59,298,1,todo
05/27/16,04:35:40,77,41,698,1,todo
05/27/16,07:20:32,79,57,785,1,todo
05/27/16,04:59:52,60,54,27,1,todo
05/27/16,01:21:49,99,66,468,0,todo
05/28/16,16:18:51,14,100,777,1,todo
05/29/16,20:28:17,40,33,613,1,todo
05/30/16,17:48:22,54,108,792,1,todo
05/30/16,17:47:30,78,82,106,1,todo
05/31/16,01:20:23,47,65,692,1,todo
05/31/16,21:02:43,22,82,259,0,todo
06/01/16,23:51:18,17,106,566,1,todo
06/01/16,20:38:24,24,64,257,0,todo
06/01/16,10:31:20,51,90,710,1,todo
06/01/16,09:52:19,19,62,589,0,todo
06/01/16,07:41:49,78,66,924,0,todo
06/01/16,06:58:19,25,84,254,1,todo
06/02/16,09:09:05,15,48,811,1,todo
06/02/16,22:28:49,51,50,835,1,todo
06/02/16,05:26:47,80,50,948,1,todo
06/02/16,04:14:00,88,85,226,0,todo
06/03/16,03:16:56,33,106,351,1,todo
06/03/16,03:05:29,31,108,372,1,todo
06/03/16,12:49:40,53,91,686,0,todo
06/04/16,10:26:56,79,79,110,0,todo
06/04/16,22:21:55,76,54,82,0,todo
06/04/16,01:24:06,43,61,671,0,todo
06/05/16,16:49:21,9,89,747,1,todo
06/05/16,01:30:53,59,35,709,1,todo
06/05/16,15:00:22,66,107,140,0,todo
06/05/16,11:39:12,54,71,367,0,todo
06/05/16,14:15:17,97,88,22,1,todo
06/06/16,08:13:35,79,81,128,1,todo
06/07/16,08:10:35,45,63,793,1,todo
06/07/16,07:44:09,68,89,681,1,todo
06/08/16,15:56:43,2,88,871,0,todo
06/09/16,03:00:07,37,107,790,1,todo
06/09/16,21:09:01,35,59,0,0,todo
06/10/16,16:29:24,33,56,637,1,todo
06/11/16,15:05:46,8,33,72,0,todo
06/11/16,01:31:05,7,86,372,1,todo
06/12/16,02:02:10,67,80,907,0,todo
06/12/16,11:49:10,37,95,867,1,todo
06/12/16,15:36:07,81,62,950,1,todo
06/12/16,07:40:14,70,66,67,0,todo
06/13/16,12:21:05,72,81,1000,1,todo
06/14/16,05:24:34,92,88,134,0,todo
06/15/16,04:28:00,15,94,946,0,todo
06/16/16,06:34:29,46,87,561,1,todo
06/17/16,04:56:46,85,106,592,1,todo
06/17/16,21:40:08,78,40,150,1,todo
06/18/16,19:18:39,84,72,888,1,todo
06/18/16,11:12:41,39,33,284,1,todo
06/18/16,23:11:06,36,83,509,1,todo
06/18/16,13:30:23,64,91,291,0,todo
06/19/16,23:34:28,60,63,947,1,todo
06/20/16,19:09:07,45,43,326,1,todo
06/21/16,07:26:40,25,76,98,1,todo
06/21/16,04:53:02,81,86,917,1,todo
06/21/16,02:51:27,23,44,386,0,todo
06/22/16,16:17:52,71,71,106,1,todo
06/22/16,09:45:55,30,54,866,1,todo
06/22/16,23:29:22,96,104,82,1,todo
06/23/16,13:01:08,11,85,966,1,todo
06/23/16,09:14:12,93,105,324,0,todo
06/24/16,11:37:57,26,105,237,1,todo
06/25/16,14:16:00,38,57,437,0,todo
06/25/16,00:22:47,79,33,465,1,todo
06/26/16,15:33:14,83,33,29,0,todo
06/27/16,11:37:25,17,85,719,0,todo
06/28/16,14:24:21,40,69,134,1,todo
06/29/16,05:17:54,91,57,253,0,todo
06/29/16,05:09:45,83,102,173,0,todo
06/29/16,11:59:05,42,49,762,1,todo
06/29/16,02:13:07,72,75,576,0,todo
06/29/16,23:56:12,21,37,320,0,todo
06/30/16,11:44:16,97,43,485,0,todo
07/01/16,02:28:35,50,78,423,0,todo
07/01/16,10:40:54,84,56,619,0,todo
07/02/16,02:45:12,7,109,110,1,todo
07/02/16,16:31:51,84,76,949,0,todo
07/02/16,22:58:36,28,77,725,1,todo
07/03/16,18:09:57,63,34,186,0,todo
